title,service_name,is_cloud
Multi Cluster Ingress API,multiclusteringress.googleapis.com,True
Multi cluster metering API,multiclustermetering.googleapis.com,True
Network Management API,networkmanagement.googleapis.com,True
Network Topology API,networktopology.googleapis.com,True
Notebooks API,notebooks.googleapis.com,True
Orkut REST API,orkut.googleapis.com,False
Cloud OS Config API,osconfig.googleapis.com,True
Cloud OS Login API,oslogin.googleapis.com,True
PageSpeed Insights API,pagespeedonline.googleapis.com,False
Google Partners API,partners-json.googleapis.com,False
Confluent Cloud Service Prod,payg-prod.gcpmarketplace.confluent.cloud,False
People API,people.googleapis.com,False
Android Performance Parameters API,performanceparameters.googleapis.com,False
Photos Library API,photoslibrary.googleapis.com,False
Google Picker API,picker.googleapis.com,False
Places API,places-backend.googleapis.com,False
Google Play Custom App Publishing API,playcustomapp.googleapis.com,False
Google+ API,plus.googleapis.com,False
Google+ Domains API,plusdomains.googleapis.com,False
Google+ Hangouts API,plushangouts.googleapis.com,False
Policy Troubleshooter API,policytroubleshooter.googleapis.com,True
Poly API,poly.googleapis.com,False
SAS Portal API (Testing),prod-tt-sasportal.googleapis.com,False
DataStax Astra - Cassandra as a Service,prod.cloud.datastax.com,False
Cloud Pub/Sub API,pubsub.googleapis.com,True
Realtime API,realtime.googleapis.com,True
Recommender API,recommender.googleapis.com,True
Google Cloud Memorystore for Redis API,redis.googleapis.com,True
Remote Build Execution API,remotebuildexecution.googleapis.com,True
Compute Engine Instance Group Manager API,replicapool.googleapis.com,True
Compute Engine Instance Group Updater API,replicapoolupdater.googleapis.com,True
Google Apps Reseller API,reseller.googleapis.com,False
Compute Engine Instance Groups API,resourceviews.googleapis.com,True
RISC API,risc.googleapis.com,False
Roads API,roads.googleapis.com,False
Cloud Run API,run.googleapis.com,True
Cloud Runtime Configuration API,runtimeconfig.googleapis.com,True
Safe Browsing API (Legacy),safebrowsing-json.googleapis.com,False
Safe Browsing API,safebrowsing.googleapis.com,False
SAS Portal API,sasportal.googleapis.com,False
Apps Script API,script.googleapis.com,False
Google Search Console URL Testing Tools API,searchconsole.googleapis.com,False
Secret Manager API,secretmanager.googleapis.com,True
Token Service API,securetoken.googleapis.com,False
Security Command Center API,securitycenter.googleapis.com,True
Service Consumer Management API,serviceconsumermanagement.googleapis.com,True
Service Control API,servicecontrol.googleapis.com,True
Service Directory API,servicedirectory.googleapis.com,True
Service Management API,servicemanagement.googleapis.com,True
Service Networking API,servicenetworking.googleapis.com,True
Service Usage API,serviceusage.googleapis.com,True
Google Sheets API,sheets.googleapis.com,False
Content API for Shopping,shoppingcontent.googleapis.com,False
Site Verification API,siteverification.googleapis.com,False
Google Slides API,slides.googleapis.com,False
Cloud Source Repositories API,sourcerepo.googleapis.com,True
Cloud Spanner API,spanner.googleapis.com,True
Cloud Speech-to-Text API,speech.googleapis.com,True
Cloud SQL,sql-component.googleapis.com,True
Cloud SQL Admin API,sqladmin.googleapis.com,True
Stackdriver API,stackdriver.googleapis.com,True
Maps Static API,static-maps-backend.googleapis.com,False
Google Cloud Storage JSON API,storage-api.googleapis.com,True
Cloud Storage,storage-component.googleapis.com,True
Storage Transfer API,storagetransfer.googleapis.com,True
Street View Static API,street-view-image-backend.googleapis.com,False
Street View Publish API,streetviewpublish.googleapis.com,False
Subscribe with Google Publication API,subscribewithgoogle.googleapis.com,False
Subscribe with Google Developer API,subscribewithgoogledeveloper.googleapis.com,False
Google Surveys API,surveys.googleapis.com,False
Tag Manager API,tagmanager.googleapis.com,False
Tasks API,tasks.googleapis.com,False
Cloud Testing API,testing.googleapis.com,True
Cloud Text-to-Speech API,texttospeech.googleapis.com,True
Threat Detection API,threatdetection.googleapis.com,True
Time Zone API,timezone-backend.googleapis.com,False
Cloud Tool Results API,toolresults.googleapis.com,True
Cloud TPU API,tpu.googleapis.com,True
Traffic Director API,trafficdirector.googleapis.com,True
Cloud Translation API,translate.googleapis.com,True
Travel Partner API,travelpartner.googleapis.com,False
URL Shortener API,urlshortener.googleapis.com,False
Awareness API,usercontext.googleapis.com,False
G Suite Vault API,vault.googleapis.com,False
Chrome Verified Access API,verifiedaccess.googleapis.com,False
Cloud Video Intelligence API,videointelligence.googleapis.com,True
Cloud Vision API,vision.googleapis.com,True
VM Migration API,vmmigration.googleapis.com,True
Serverless VPC Access API,vpcaccess.googleapis.com,True
Google Pay Passes API,walletobjects.googleapis.com,False
Web Fonts Developer API,webfonts.googleapis.com,False
Google Search Console API,webmasters.googleapis.com,False
Web Security Scanner API,websecurityscanner.googleapis.com,True
YouTube Data API v3,youtube.googleapis.com,False
YouTube Ads Reach API,youtubeadsreach.googleapis.com,False
YouTube Analytics API,youtubeanalytics.googleapis.com,False
YouTube Reporting API,youtubereporting.googleapis.com,False
Zync Render API,zync.googleapis.com,True
